user_id,videos_json,channel_title,thumbnail_link,view_count,subscriber_count,video_count
UCBVNld8hX9a0fOCexy5OeYg,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""This kid is smarter than I thought \ud83e\udd14""}]",Ryan,https://yt3.ggpht.com/H6v8IDggnvV6UstRNOaKwgV9LV1oSmWld38MY3AGXRdoT8uQ8i2erYMbowX8I0sRMzoAeFKz5dw=s88-c-k-c0x00ffffff-no-rj,0,4,0
UCy42RQ7NnvMt6JoxUKie-Jw,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""yadnus""}]",Chris Pineda,https://yt3.ggpht.com/ytc/AIdro_mc2sHNT8EAVTOAp_6QLedQFzreyiGY1iqErFZzDbQZ4H_x=s88-c-k-c0x00ffffff-no-rj,0,0,0
UCby66o0duQ3A-qimdWTpnaw,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""YADNUS""}]",Khomotso Thobejane,https://yt3.ggpht.com/ytc/AIdro_khKGoj6RRYxWpaZ4wnM0UB47N6t58yW8yvvkbsYpo=s88-c-k-c0x00ffffff-no-rj,0,0,0
UCgF8WztB3XBq9U5FOs-fKTA,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""Yadnus""}]",Griffin Wright,https://yt3.ggpht.com/96_InQMwk_FlRh_R2Kg2OsaC4KppvK-4PiQmtHIDiVhJdBzs3z1YtLKnFxcGUyWkewlaP6uBmA=s88-c-k-c0x00ffffff-no-rj,2015,7,1
UCGX4his5LfI3KkAJakkW7fA,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""YADNUS""}]",RowdyReamz,https://yt3.ggpht.com/Bwfh6e6zWNahjCPKhazD_omaqY3EvbrKrGx2clXX-b4MozW13dTAChPh8cSIcUJ0f71T78B0=s88-c-k-c0x00ffffff-no-rj,187,11,35
UCb2dad5YkxEU3ve7-QD_E4g,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""14:46 he's right.... that's why once you have kids life just kinda becomes a blur.""}]",T,https://yt3.ggpht.com/ytc/AIdro_lj8lTJVwCld1wo5sMwq40ASjXzJnGxz6DxprVu9gRqQ34=s88-c-k-c0x00ffffff-no-rj,0,4,0
UCXPEtfflgaGb14RGqFHm_cA,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 1, ""comment"": ""YADNUS""}]",RynossGaming&Music,https://yt3.ggpht.com/T93h7jOnGPeQaj2-sTQvsZFzNVSmrPY4JrjOW8OIjI5fcihQ3CXbLuq0_9djRyKNHUZzXimtTQ=s88-c-k-c0x00ffffff-no-rj,15925,271,172
UC1KZE0x3PMW1FR1z0idgoYA,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""YADNUS""}]",Woody Fipps,https://yt3.ggpht.com/ytc/AIdro_nK5Gjr1ppredHxNxU_63E0jRvCVnCRd-iCoQaSzEM=s88-c-k-c0x00ffffff-no-rj,0,0,0
UC1kSQ8p9TQtGfiPumDZ72XQ,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""I predict Jesse outperforms Nelk.""}]",Mr. Rudy,https://yt3.ggpht.com/ytc/AIdro_nMOtAyAX57HzC_U8CDGwMUNH7zdvoHl_rMc4AKWOU=s88-c-k-c0x00ffffff-no-rj,0,4,0
UChDVdXpQP1uBXhBn2tA6tbw,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""When you say you are humble, you are not humble genius.""}]",Lanmech,https://yt3.ggpht.com/ytc/AIdro_m0TWGDJ1pPXYKd1OWZSHyNjjQEhHTuPiVpVP_rKDXXx93mplIIvtbIMrbtzIhsrc4YVA=s88-c-k-c0x00ffffff-no-rj,0,0,0
UCiOC0LwqDlhpr_elFrLgT8g,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""Congrats on getting sober takes a lot of maturity""}]",Graham Marshall,https://yt3.ggpht.com/jAkVDIL4de96Ri9xXUlKckDGXn3a5GS5GBzCrM8xnA7OKOVasHUatbN_q7trrOqUIsjkoTSZXQ=s88-c-k-c0x00ffffff-no-rj,2652,18,6
UCD2W3K-8e6Grb8ZH07vUaNA,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""Why sell your shares\u2026 collect a check the rest of your life my friend""}]",Dick Trickle,https://yt3.ggpht.com/ytc/AIdro_kQrDDGdGlxv3wZOfIW_GtKRjFlURdOeYVH22tczQ8=s88-c-k-c0x00ffffff-no-rj,0,0,0
